598 513
(4,161) 7 7
(10,388) 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 6 6 6 6 6 6 7 6 6 6 6 6 6 7 6 6 6 6 6 7 6 6 6 6 7 6 6 6 7 6 6 6 6 7 6 6 7 6 6 6 7 6 6 7 6 6 6 7 6 7 6 6 7 6 6 7 6 6 7 6 6 7 6 7 6 6 7 6 7 6 7 7 6 6 6
(40,177) 2 1 2
(43,344) 6
(49,349) 6 7 0 7 7 7 7 7 7 7 7 0 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 0 7 7 7 7 7 7 0
(58,475) 4 5 4 5 5 4 5 5 4 5 5 5 4 5 5 5 4 5 5 4 5 5 5 4 5 5 5 5 5 5 4 4 5 5 6 5 4 5 5 4 5 5 5 5 5 5 5 4 5 6 5 5 5 5 5 5 4
(74,238) 1 0
(74,380) 0
(76,225) 7 6 7 7 6 7 7 7 7 7 7 7 0 7 0 7 6
(85,265) 5
(99,146) 2 2 2 2 1 0
(100,445) 6
(154,146) 7
(155,236) 2 3 2 3 2 3 2 3 2 3 2
(166,208) 0
(173,240) 2 2
(174,223) 7
(175,237) 4
(176,186) 0
(176,265) 4 4
(180,110) 6
(186,223) 6 7 6 7 6
(188,178) 2 2 2 2 2 2 2
(190,149) 0
(195,139) 6
(195,162) 4 3
(198,71) 7
(201,377) 2
(202,5) 7 0 0
(203,258) 2
(206,102) 6
(208,136) 2 2 2 2
(214,117) 3
(223,80) 6 7 0 0
(229,233) 5 5 6 6
(230,48) 4 4
(240,25) 0 0
(250,185) 6 5 6 5 6 5 6 6 6
(251,179) 4 5 5 6 5 5 5 5 5
(251,443) 0 0
(258,381) 6 6 6 6 5 6 6
(268,417) 7 6
(275,191) 6 7 6 6
(290,156) 1 2 1 2 0
(292,208) 4 4
(302,172) 3
(337,208) 1 1 1 0 7 7 6 7 6 7 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
(339,207) 6 5 6 6 5 6 6 5 6 6 6 6
(343,178) 2 3 2
(352,141) 3 3 4 3 3 4 3 3
(354,82) 4 4
(362,204) 2 2 2 2 2 2 2 2 2 2 2
